Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:46543000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
46543000;1;01/09/2025;;1;1;"22,791";"19,6035";"21,0027";3;30;1;1;1;"0,0";0;"22,1957";"22,4925";"22,791";"22,4925";"21,9006";"21,6073";"21,0259";"21,0259";"20,7379";"20,4517";"20,4517";"20,4517";"20,4517";"20,4517";"20,7379";"21,0259";"21,0259";"21,0259";"21,0259";"21,0259";"21,3157";"20,7379";"20,7379";"21,0259";"20,4517";"20,4517";"21,0259";"20,4517";"19,8845";"19,6035";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
46543000;1;01/08/2025;;1;1;"24,3101";"21,6073";"22,6696";5;22;1;1;1;"0,0";0;"23,3934";"23,3934";"23,0914";"23,3934";"24,3101";"23,0914";"22,791";"23,3934";"22,4925";"23,3934";"22,791";"23,0914";"22,4925";"22,4925";"23,0914";"23,0914";"22,1957";"22,1957";"22,4925";"23,3934";"22,1957";"21,6073";"21,6073";"21,9006";"21,9006";"22,1957";"22,4925";"22,4925";"22,1957";"22,4925";"21,6073";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
46543000;1;01/07/2025;;1;1;"23,3934";"21,6073";"22,6965";19;6;1;1;1;;0;"21,9006";"22,1957";"22,791";"23,0914";"22,1957";"21,6073";"22,1957";"22,1957";"22,791";"23,0914";"22,1957";"22,791";"22,791";"22,4925";"22,791";"22,791";"22,791";"22,791";"23,3934";"23,3934";"22,791";"23,3934";"22,4925";"22,4925";"22,791";"22,4925";"22,791";"22,4925";"22,791";"23,3934";"23,3934";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
46543000;1;01/06/2025;;1;1;"23,0914";"21,0259";"22,2571";4;21;1;1;1;;0;"22,1957";"22,791";"22,4925";"23,0914";"23,0914";"22,791";"22,1957";"22,4925";"22,791";"22,1957";"22,4925";"22,1957";"22,1957";"22,4925";"22,1957";"21,9006";"21,6073";"21,6073";"21,3157";"21,9006";"21,0259";"22,1957";"22,4925";"22,791";"21,9006";"22,4925";"22,1957";"22,1957";"21,9006";"22,4925";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
46543000;1;01/05/2025;;1;1;"40,8933";"21,9006";"27,9719";2;28;1;1;1;;0;"40,3283";"40,8933";"39,7662";"39,7662";"39,7662";"38,0971";"35,9121";"33,7741";"31,1689";"29,1396";"28,1436";"27,478";"26,5096";"25,2423";"24,6191";"24,0028";"23,6972";"22,791";"23,3934";"23,6972";"23,6972";"23,0914";"23,3934";"22,791";"22,4925";"22,791";"22,1957";"21,9006";"21,9006";"22,4925";"22,1957";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
46543000;1;01/04/2025;;1;1;"40,3283";"28,1436";"33,6461";5;22;1;1;1;;0;"37,5465";"36,454";"36,454";"37,5465";"40,3283";"38,0971";"38,0971";"36,9988";"36,454";"36,9988";"36,454";"34,3042";"34,3042";"32,723";"31,6839";"31,6839";"31,1689";"31,1689";"29,6423";"28,64";"29,6423";"28,1436";"28,64";"32,723";"31,6839";"31,1689";"30,657";"31,6839";"29,6423";"38,6506";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
46543000;1;01/03/2025;;1;1;"39,7662";"24,6191";"29,7071";29;17;1;1;1;;0;"31,1689";"30,1481";"30,657";"30,1481";"29,6423";"29,1396";"29,6423";"28,64";"28,64";"27,478";"27,478";"26,5096";"25,5566";"25,5566";"25,2423";"24,9299";"24,6191";"24,9299";"24,6191";"25,5566";"25,2423";"27,1535";"25,8725";"27,1535";"32,723";"38,6506";"37,5465";"39,207";"39,7662";"39,207";"38,0971";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
46543000;1;01/02/2025;;1;1;"57,184";"31,6839";"40,3486";2;28;1;1;1;;0;"49,0949";"57,184";"55,2779";"54,0202";"54,0202";"53,3953";"49,7013";"46,6966";"42,605";"40,8933";"39,7662";"38,6506";"36,9988";"36,454";"34,8372";"34,8372";"34,3042";"33,7741";"33,7741";"33,7741";"34,3042";"33,247";"34,3042";"34,8372";"33,7741";"34,3042";"33,247";"31,6839";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
46543000;1;01/01/2025;;1;1;"69,7863";"40,8933";"52,3699";14;7;1;1;1;;0;"50,3103";"48,4913";"47,8904";"46,6966";"45,5138";"49,0949";"40,8933";"40,8933";"42,605";"49,7013";"49,0949";"69,1007";"68,4175";"69,7863";"67,0584";"61,7214";"64,3699";"59,7615";"55,2779";"52,773";"51,5363";"50,3103";"50,3103";"53,3953";"52,773";"50,3103";"46,6966";"44,9265";"44,342";"48,4913";"50,922";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
46543000;1;01/12/2024;;1;1;"49,0949";"26,8307";"36,541";27;15;1;1;1;;0;"39,207";"42,0316";"38,6506";"38,0971";"36,454";"36,454";"35,9121";"35,3732";"34,8372";"34,8372";"32,2019";"29,1396";"27,478";"27,1535";"26,8307";"27,1535";"27,1535";"30,657";"38,0971";"34,3042";"31,6839";"32,2019";"34,8372";"35,9121";"37,5465";"46,1038";"49,0949";"48,4913";"47,8904";"47,8904";"49,0949";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
